function,h,forward,backward,central,exact,err_forward,err_backward,err_central
exp,1.00000000e-01,2.85884195e+00,2.58678717e+00,2.72281456e+00,2.71828183e+00,1.40560126e-01,1.31494655e-01,4.53273549e-03
exp,1.00000000e-02,2.73191866e+00,2.70473561e+00,2.71832713e+00,2.71828183e+00,1.36368273e-02,1.35462175e-02,4.53049237e-05
exp,1.00000000e-03,2.71964142e+00,2.71692314e+00,2.71828228e+00,2.71828183e+00,1.35959407e-03,1.35868798e-03,4.53046679e-07
exp,1.00000000e-04,2.71841775e+00,2.71814592e+00,2.71828183e+00,2.71828183e+00,1.35918624e-04,1.35909563e-04,4.53056570e-09
exp,1.00000000e-05,2.71829542e+00,2.71826824e+00,2.71828183e+00,2.71828183e+00,1.35914977e-05,1.35913805e-05,5.85869131e-11
exp,1.00000000e-06,2.71828319e+00,2.71828047e+00,2.71828183e+00,2.71828183e+00,1.35897157e-06,1.35929848e-06,1.63457248e-10
exp,1.00000000e-07,2.71828197e+00,2.71828169e+00,2.71828183e+00,2.71828183e+00,1.39946688e-07,1.39829514e-07,5.85873572e-11
exp,1.00000000e-08,2.71828182e+00,2.71828182e+00,2.71828182e+00,2.71828183e+00,6.60275079e-09,6.60275079e-09,6.60275079e-09
sin,1.00000000e-01,4.97363753e-01,5.81440752e-01,5.39402252e-01,5.40302306e-01,4.29385533e-02,4.11384459e-02,9.00053698e-04
sin,1.00000000e-02,5.36085981e-01,5.44500621e-01,5.40293301e-01,5.40302306e-01,4.21632486e-03,4.19831487e-03,9.00499341e-06
sin,1.00000000e-03,5.39881480e-01,5.40722951e-01,5.40302216e-01,5.40302306e-01,4.20825508e-04,4.20645407e-04,9.00504502e-08
sin,1.00000000e-04,5.40260231e-01,5.40344379e-01,5.40302305e-01,5.40302306e-01,4.20744495e-05,4.20726487e-05,9.00429509e-10
sin,1.00000000e-05,5.40298099e-01,5.40306513e-01,5.40302306e-01,5.40302306e-01,4.20736228e-06,4.20733999e-06,1.11408660e-11
sin,1.00000000e-06,5.40301885e-01,5.40302727e-01,5.40302306e-01,5.40302306e-01,4.20746809e-07,4.20802243e-07,2.77169399e-11
sin,1.00000000e-07,5.40302264e-01,5.40302347e-01,5.40302306e-01,5.40302306e-01,4.18276911e-08,4.14390358e-08,1.94327665e-10
sin,1.00000000e-08,5.40302303e-01,5.40302314e-01,5.40302308e-01,5.40302306e-01,2.96988523e-09,8.13234502e-09,2.58122990e-09
poly,1.00000000e-01,1.31000000e+00,7.10000000e-01,1.01000000e+00,1.00000000e+00,3.10000000e-01,2.90000000e-01,1.00000000e-02
poly,1.00000000e-02,1.03010000e+00,9.70100000e-01,1.00010000e+00,1.00000000e+00,3.01000000e-02,2.99000000e-02,1.00000000e-04
poly,1.00000000e-03,1.00300100e+00,9.97001000e-01,1.00000100e+00,1.00000000e+00,3.00100000e-03,2.99900000e-03,9.99999862e-07
poly,1.00000000e-04,1.00030001e+00,9.99700010e-01,1.00000001e+00,1.00000000e+00,3.00009999e-04,2.99990000e-04,9.99966865e-09
poly,1.00000000e-05,1.00003000e+00,9.99970000e-01,1.00000000e+00,1.00000000e+00,3.00000979e-05,2.99999071e-05,9.53690460e-11
poly,1.00000000e-06,1.00000300e+00,9.99997000e-01,1.00000000e+00,1.00000000e+00,2.99996239e-06,2.99990488e-06,2.87556645e-11
poly,1.00000000e-07,1.00000030e+00,9.99999701e-01,1.00000000e+00,1.00000000e+00,3.00344084e-07,2.99176349e-07,5.83867177e-10
poly,1.00000000e-08,1.00000002e+00,9.99999972e-01,9.99999994e-01,1.00000000e+00,1.61269895e-08,2.82819315e-08,6.07747097e-09
