function,h,D_h,R_h,exact,err_D,err_R
sin,1.00000000e-01,5.39402252e-01,5.40302193e-01,5.40302306e-01,9.00053698e-04,1.12529484e-07
sin,1.00000000e-02,5.40293301e-01,5.40302306e-01,5.40302306e-01,9.00499341e-06,1.12759801e-11
sin,1.00000000e-03,5.40302216e-01,5.40302306e-01,5.40302306e-01,9.00504502e-08,3.54161145e-14
sin,1.00000000e-04,5.40302305e-01,5.40302306e-01,5.40302306e-01,9.00429509e-10,1.07158726e-12
sin,1.00000000e-05,5.40302306e-01,5.40302306e-01,5.40302306e-01,1.11408660e-11,1.10635945e-11
sin,1.00000000e-06,5.40302306e-01,5.40302306e-01,5.40302306e-01,2.77169399e-11,2.77169399e-11
sin,1.00000000e-07,5.40302306e-01,5.40302305e-01,5.40302306e-01,1.94327665e-10,9.34476385e-10
sin,1.00000000e-08,5.40302308e-01,5.40302301e-01,5.40302306e-01,2.58122990e-09,4.82025697e-09
sin,1.00000000e-09,5.40302303e-01,5.40302229e-01,5.40302306e-01,2.96988523e-09,7.69847536e-08
sin,1.00000000e-10,5.40302247e-01,5.40303728e-01,5.40302306e-01,5.84810365e-08,1.42181633e-06
