Numerical Differentiation Results
Evaluation point: 1.0

Function  h           Forward         Backward        Central         Exact           Err Forward     Err Backward    Err Central     
exp       1e-01       2.858842e+00    2.586787e+00    2.722815e+00    2.718282e+00    1.405601e-01    1.314947e-01    4.532735e-03    
exp       1e-02       2.731919e+00    2.704736e+00    2.718327e+00    2.718282e+00    1.363683e-02    1.354622e-02    4.530492e-05    
exp       1e-03       2.719641e+00    2.716923e+00    2.718282e+00    2.718282e+00    1.359594e-03    1.358688e-03    4.530467e-07    
exp       1e-04       2.718418e+00    2.718146e+00    2.718282e+00    2.718282e+00    1.359186e-04    1.359096e-04    4.530566e-09    
exp       1e-05       2.718295e+00    2.718268e+00    2.718282e+00    2.718282e+00    1.359150e-05    1.359138e-05    5.858691e-11    
exp       1e-06       2.718283e+00    2.718280e+00    2.718282e+00    2.718282e+00    1.358972e-06    1.359298e-06    1.634572e-10    
exp       1e-07       2.718282e+00    2.718282e+00    2.718282e+00    2.718282e+00    1.399467e-07    1.398295e-07    5.858736e-11    
exp       1e-08       2.718282e+00    2.718282e+00    2.718282e+00    2.718282e+00    6.602751e-09    6.602751e-09    6.602751e-09    
exp       1e-09       2.718282e+00    2.718282e+00    2.718282e+00    2.718282e+00    2.154419e-07    2.286474e-07    6.602751e-09    
exp       1e-10       2.718283e+00    2.718279e+00    2.718281e+00    2.718282e+00    1.547709e-06    2.893183e-06    6.727366e-07    
exp       1e-11       2.718314e+00    2.718270e+00    2.718292e+00    2.718282e+00    3.263395e-05    1.177497e-05    1.042949e-05    
