function,h,central,richardson,exact,err_central,err_richardson
exp,0.1,2.7228145639474177,2.718281261981766,2.718281828459045,0.00453273548837263,5.664772793068096e-07
exp,0.01,2.718327133382714,2.718281828402354,2.718281828459045,4.530492366905392e-05,5.6691096261829443e-11
exp,0.001,2.718282281505724,2.7182818284586427,2.718281828459045,4.53046678838831e-07,4.0234482412415673e-13
exp,0.0001,2.718281832989611,2.718281828459901,2.718281828459045,4.53056570037802e-09,8.557599073810707e-13
exp,1e-05,2.718281828517632,2.718281828517632,2.718281828459045,5.858691309867936e-11,5.858691309867936e-11
exp,1e-06,2.718281828295588,2.7182818285916475,2.718281828459045,1.634572477371421e-10,1.326023735259696e-10
exp,1e-07,2.7182818285176324,2.7182818255570376,2.718281828459045,5.858735718788921e-11,2.902007523175598e-09
exp,1e-08,2.7182818218562943,2.7182818218562943,2.718281828459045,6.60275079056305e-09,6.60275079056305e-09
exp,1e-09,2.7182818218562943,2.7182821179157677,2.718281828459045,6.60275079056305e-09,2.8945672259084176e-07
exp,1e-10,2.7182811557224795,2.718284116317212,2.718281828459045,6.72736565565657e-07,2.2878581669161235e-06
