Richardson Extrapolation Results
Evaluation point: 1.0

Function  h           Central           Richardson        Exact             Err Central       Err Richardson    
exp       1e-01       2.72281456e+00    2.71828126e+00    2.71828183e+00    4.53273549e-03    5.66477279e-07    
exp       1e-02       2.71832713e+00    2.71828183e+00    2.71828183e+00    4.53049237e-05    5.66910963e-11    
exp       1e-03       2.71828228e+00    2.71828183e+00    2.71828183e+00    4.53046679e-07    4.02344824e-13    
exp       1e-04       2.71828183e+00    2.71828183e+00    2.71828183e+00    4.53056570e-09    8.55759907e-13    
exp       1e-05       2.71828183e+00    2.71828183e+00    2.71828183e+00    5.85869131e-11    5.85869131e-11    
exp       1e-06       2.71828183e+00    2.71828183e+00    2.71828183e+00    1.63457248e-10    1.32602374e-10    
exp       1e-07       2.71828183e+00    2.71828183e+00    2.71828183e+00    5.85873572e-11    2.90200752e-09    
exp       1e-08       2.71828182e+00    2.71828182e+00    2.71828183e+00    6.60275079e-09    6.60275079e-09    
exp       1e-09       2.71828182e+00    2.71828212e+00    2.71828183e+00    6.60275079e-09    2.89456723e-07    
exp       1e-10       2.71828116e+00    2.71828412e+00    2.71828183e+00    6.72736566e-07    2.28785817e-06    
